FIPS,COUNTY,STATE,Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some other race Alone,Two or more races,Housing units,Occupied Housing Units,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,% Occupied Housing Units: Owner Occupied,% Occupied Housing Units: Renter Occupied,Owner-occupied housing units: Median value,Specified owner-occupied housing units: Median value,Owner occupied >> White,Owner occupied >> Black,Owner occupied >> American Indian,Owner occupied >> Native Hawaiian and Other Pacific Islander,Owner occupied >> Two or more races,Owner occupied >> Asian or Pacific Islander,Tract_numeric,In city of Detroit?
26163532600,Wayne,Michigan,3461,392,2802,7,188,0,12,60,1418,1276,259,1017,20.3,79.7,64200,56400,5,249,0,0,2,3,5326.0,Yes
26163532700,Wayne,Michigan,1797,16,1747,4,1,1,1,27,799,656,232,424,35.37,64.63,35200,33200,1,227,0,0,3,1,5327.0,Yes
26163533000,Wayne,Michigan,2526,85,2402,4,5,0,2,28,896,797,314,483,39.4,60.6,59200,63700,4,304,0,0,6,0,5330.0,Yes
26163533100,Wayne,Michigan,2555,13,2464,8,5,0,10,55,1222,1037,331,706,31.92,68.08,47400,78200,0,321,1,0,8,0,5331.0,Yes
26163533200,Wayne,Michigan,3047,14,2997,2,6,0,2,26,1239,1059,489,570,46.18,53.82,35100,35900,3,485,0,0,1,0,5332.0,Yes
26163533300,Wayne,Michigan,3037,51,2916,8,9,1,3,49,1311,1097,449,648,40.93,59.07,30900,31300,3,438,2,0,5,1,5333.0,Yes
26163533400,Wayne,Michigan,4631,41,4495,13,3,1,11,67,2088,1734,744,990,42.91,57.09,40100,40900,8,724,0,0,8,2,5334.0,Yes
26163533500,Wayne,Michigan,2004,12,1978,4,0,0,1,9,860,733,309,424,42.16,57.84,40300,47100,1,303,2,0,3,0,5335.0,Yes
26163533600,Wayne,Michigan,4023,17,3945,8,0,1,8,44,1590,1422,707,715,49.72,50.28,34000,34400,3,692,4,0,8,0,5336.0,Yes
26163533700,Wayne,Michigan,1927,14,1867,2,2,0,5,37,797,712,391,321,54.92,45.08,35100,32900,2,380,1,0,7,1,5337.0,Yes
26163534100,Wayne,Michigan,2939,19,2859,9,6,0,15,31,1426,1208,444,764,36.75,63.25,44300,44600,2,440,0,0,2,0,5341.0,Yes
26163534200,Wayne,Michigan,5995,58,5840,8,5,0,13,71,2132,1976,1216,760,61.54,38.46,50800,51900,15,1183,3,0,13,0,5342.0,Yes
26163534300,Wayne,Michigan,2524,35,2456,3,3,0,7,20,901,804,435,369,54.1,45.9,34700,44500,10,413,1,0,9,1,5343.0,Yes
26163534400,Wayne,Michigan,3168,50,3055,2,2,0,13,46,1195,1093,488,605,44.65,55.35,41200,40000,8,471,0,0,8,1,5344.0,Yes
26163534500,Wayne,Michigan,1798,20,1745,1,3,1,1,27,688,631,381,250,60.38,39.62,32700,32600,6,370,0,0,4,0,5345.0,Yes
26163534600,Wayne,Michigan,2985,24,2908,6,2,0,8,37,1285,1124,636,488,56.58,43.42,38500,37100,4,621,3,0,7,0,5346.0,Yes
26163534700,Wayne,Michigan,3815,78,3675,8,7,0,2,45,1599,1449,1002,447,69.15,30.85,66000,65700,28,962,2,0,8,2,5347.0,Yes
26163535000,Wayne,Michigan,3797,113,3601,9,9,0,9,56,1570,1449,723,726,49.9,50.1,63100,63200,32,673,2,0,12,3,5350.0,Yes
26163535100,Wayne,Michigan,2785,67,2661,8,3,0,6,40,1035,946,500,446,52.85,47.15,51900,50200,13,476,3,0,8,0,5351.0,Yes
26163535200,Wayne,Michigan,3466,52,3369,5,2,0,15,23,1378,1190,608,582,51.09,48.91,46500,47500,20,582,0,0,3,1,5352.0,Yes
26163535300,Wayne,Michigan,4889,98,4689,12,3,0,9,78,1782,1690,1160,530,68.64,31.36,60400,59700,47,1094,3,0,13,1,5353.0,Yes
26163535400,Wayne,Michigan,2107,42,2035,3,7,0,5,15,759,732,429,303,58.61,41.39,54700,54900,22,400,0,0,4,2,5354.0,Yes
26163535500,Wayne,Michigan,3504,102,3314,5,5,0,12,66,1316,1244,734,510,59,41,60800,59700,43,671,2,0,13,2,5355.0,Yes
26163535600,Wayne,Michigan,3816,171,3573,9,9,2,21,31,1633,1590,1224,366,76.98,23.02,84700,85000,93,1110,2,0,11,4,5356.0,Yes
26163535700,Wayne,Michigan,1971,37,1902,1,0,0,7,24,747,698,429,269,61.46,38.54,54900,55100,14,408,0,0,7,0,5357.0,Yes
26163536100,Wayne,Michigan,5300,73,5127,13,6,1,10,70,2087,1870,1017,853,54.39,45.61,65000,64300,15,988,1,0,12,1,5361.0,Yes
26163536200,Wayne,Michigan,2412,27,2363,0,4,0,2,16,919,878,689,189,78.47,21.53,82200,82400,6,676,0,0,3,4,5362.0,Yes
26163536300,Wayne,Michigan,4857,46,4734,10,0,0,13,54,1860,1650,871,779,52.79,47.21,54100,58100,10,848,2,0,10,0,5363.0,Yes
26163536400,Wayne,Michigan,4253,19,4198,4,9,0,2,21,1591,1413,835,578,59.09,40.91,43600,42900,4,825,1,0,3,2,5364.0,Yes
26163536500,Wayne,Michigan,2986,18,2913,8,1,0,4,42,1387,1249,605,644,48.44,51.56,56500,54100,4,593,1,0,6,0,5365.0,Yes
26163536600,Wayne,Michigan,4503,29,4402,14,1,2,6,49,1637,1466,875,591,59.69,40.31,43100,42400,8,854,1,0,11,1,5366.0,Yes
26163536700,Wayne,Michigan,1832,18,1782,12,1,0,1,18,666,609,368,241,60.43,39.57,49200,49300,6,359,1,0,2,0,5367.0,Yes
26163536800,Wayne,Michigan,2235,14,2203,0,1,0,3,14,842,760,448,312,58.95,41.05,57500,59600,3,438,0,0,6,1,5368.0,Yes
26163536900,Wayne,Michigan,4207,32,4110,14,1,0,2,48,1484,1392,899,493,64.58,35.42,68500,68600,8,884,1,0,5,0,5369.0,Yes
26163537000,Wayne,Michigan,4666,98,4480,6,3,0,9,70,1712,1626,913,713,56.15,43.85,64000,62300,16,875,2,0,19,0,5370.0,Yes
26163537100,Wayne,Michigan,3081,41,2973,8,4,0,11,44,1146,1048,620,428,59.16,40.84,60800,59400,20,589,2,0,6,0,5371.0,Yes
26163537200,Wayne,Michigan,1517,17,1468,7,1,0,5,19,563,495,232,263,46.87,53.13,35400,33600,8,218,2,0,4,0,5372.0,Yes
26163537300,Wayne,Michigan,4210,73,4086,3,0,1,4,43,1496,1362,761,601,55.87,44.13,49000,47700,24,724,1,0,12,0,5373.0,Yes
26163537500,Wayne,Michigan,3866,46,3765,11,2,0,2,40,1335,1257,888,369,70.64,29.36,69300,69500,20,857,2,0,8,0,5375.0,Yes
26163537600,Wayne,Michigan,3900,48,3767,8,5,1,13,58,1425,1362,994,368,72.98,27.02,76900,77000,21,959,1,0,12,1,5376.0,Yes
26163537700,Wayne,Michigan,4279,65,4156,5,3,0,1,49,1704,1525,803,722,52.66,47.34,59200,59000,25,771,1,0,6,0,5377.0,Yes
26163537800,Wayne,Michigan,2858,61,2743,2,2,3,4,43,1075,948,518,430,54.64,45.36,41300,39000,28,479,0,1,9,0,5378.0,Yes
26163538100,Wayne,Michigan,2400,351,1976,4,9,2,6,52,1013,977,798,179,81.68,18.32,149500,149100,156,634,1,0,4,3,5381.0,Yes
26163538200,Wayne,Michigan,2180,277,1853,3,8,0,11,28,766,757,732,25,96.7,3.3,311700,315100,114,606,0,0,6,4,5382.0,Yes
26163538300,Wayne,Michigan,3458,212,3122,15,4,6,18,81,2081,1849,167,1682,9.03,90.97,296400,402900,32,133,1,0,1,0,5383.0,Yes
26163538400,Wayne,Michigan,3952,421,3332,8,58,0,31,102,1368,1341,1185,156,88.37,11.63,215000,215900,155,996,1,0,26,5,5384.0,Yes
26163538500,Wayne,Michigan,6086,37,5925,5,8,1,11,99,2426,2288,1565,723,68.4,31.6,98100,98000,11,1523,1,0,25,3,5385.0,Yes
26163538600,Wayne,Michigan,5630,59,5446,18,3,1,16,87,2000,1967,1725,242,87.7,12.3,95500,94600,21,1677,5,0,18,1,5386.0,Yes
26163538700,Wayne,Michigan,4012,26,3907,6,14,1,11,47,1574,1500,1115,385,74.33,25.67,78600,78000,10,1089,1,0,11,1,5387.0,Yes
26163538800,Wayne,Michigan,1663,13,1622,0,3,0,6,19,697,687,528,159,76.86,23.14,94600,92500,7,512,0,0,7,1,5388.0,Yes
26163538900,Wayne,Michigan,3678,51,3549,9,1,0,5,63,1605,1568,1101,467,70.22,29.78,84500,84700,10,1068,5,0,13,1,5389.0,Yes
26163539000,Wayne,Michigan,3433,27,3355,1,5,1,8,36,1363,1274,958,316,75.2,24.8,55200,54800,6,938,0,0,14,0,5390.0,Yes
26163539100,Wayne,Michigan,2199,12,2143,2,3,0,1,38,854,815,622,193,76.32,23.68,54600,55400,3,609,1,0,7,2,5391.0,Yes
26163539200,Wayne,Michigan,5235,55,5068,11,8,1,26,66,2289,2211,1645,566,74.4,25.6,73900,75300,22,1594,5,0,18,1,5392.0,Yes
26163539300,Wayne,Michigan,4117,59,3997,8,4,1,4,44,1584,1543,1338,205,86.71,13.29,93800,94000,32,1293,4,0,9,0,5393.0,Yes
26163539400,Wayne,Michigan,3979,54,3851,9,3,0,7,55,1508,1469,1181,288,80.39,19.61,94800,94800,17,1149,4,0,10,1,5394.0,Yes
26163539500,Wayne,Michigan,3138,63,3015,7,5,1,9,38,1325,1290,930,360,72.09,27.91,86200,86200,28,887,1,0,12,1,5395.0,Yes
26163539600,Wayne,Michigan,3469,47,3331,8,7,6,5,65,1327,1291,1094,197,84.74,15.26,85200,85300,19,1055,2,0,13,3,5396.0,Yes
26163539700,Wayne,Michigan,2260,40,2176,1,1,4,3,35,1002,980,609,371,62.14,37.86,90100,89000,17,586,0,0,6,0,5397.0,Yes
26163540100,Wayne,Michigan,4212,126,3964,13,7,0,18,84,1502,1459,981,478,67.24,32.76,69400,69300,47,913,3,0,16,1,5401.0,Yes
26163540200,Wayne,Michigan,4996,93,4839,5,4,0,17,38,1750,1659,1049,610,63.23,36.77,55800,55400,41,988,0,0,15,0,5402.0,Yes
26163540300,Wayne,Michigan,4521,74,4360,15,7,0,9,56,1680,1644,1292,352,78.59,21.41,64200,63900,37,1234,7,0,10,2,5403.0,Yes
26163540400,Wayne,Michigan,3414,87,3236,13,14,2,3,59,1408,1318,770,548,58.42,41.58,71700,71600,43,708,2,0,14,2,5404.0,Yes
26163540500,Wayne,Michigan,3994,153,3769,5,5,4,4,54,1434,1388,1171,217,84.37,15.63,80100,79800,61,1091,3,1,10,3,5405.0,Yes
26163540600,Wayne,Michigan,4194,134,3980,3,2,2,8,65,1472,1429,1172,257,82.02,17.98,80900,80300,54,1103,0,1,13,1,5406.0,Yes
26163540700,Wayne,Michigan,4459,170,4193,11,3,0,6,76,1393,1334,1031,303,77.29,22.71,69200,69200,47,972,1,0,9,0,5407.0,Yes
26163540800,Wayne,Michigan,2734,85,2601,3,12,0,4,29,991,950,707,243,74.42,25.58,80200,80200,35,659,1,0,9,3,5408.0,Yes
26163540900,Wayne,Michigan,4066,126,3867,11,9,1,7,45,1456,1422,1232,190,86.64,13.36,84500,84600,50,1163,5,0,8,4,5409.0,Yes
26163541000,Wayne,Michigan,4868,158,4625,4,12,0,8,61,1950,1856,908,948,48.92,51.08,66900,66500,52,846,0,0,8,1,5410.0,Yes
26163541100,Wayne,Michigan,5477,236,5121,16,5,0,32,67,1803,1676,1012,664,60.38,39.62,62200,62200,75,921,2,0,7,2,5411.0,Yes
26163541200,Wayne,Michigan,3354,362,2852,12,19,1,17,91,1407,1229,522,707,42.47,57.53,55800,58600,134,372,2,0,9,3,5412.0,Yes
26163541300,Wayne,Michigan,2791,1257,1354,21,48,0,29,82,1156,1097,802,295,73.11,26.89,76200,75600,466,294,6,0,17,14,5413.0,Yes
26163541400,Wayne,Michigan,3185,798,2278,7,9,0,21,72,1287,1201,813,388,67.69,32.31,75900,77700,313,483,3,0,8,3,5414.0,Yes
26163541500,Wayne,Michigan,4559,260,4101,14,22,0,31,131,1809,1753,1059,694,60.41,39.59,89700,89500,91,941,1,0,18,3,5415.0,Yes
26163541700,Wayne,Michigan,2408,137,2183,8,20,2,6,52,1256,1172,348,824,29.69,70.31,88800,87600,38,295,3,2,7,2,5417.0,Yes
26163541800,Wayne,Michigan,2752,1025,1497,14,110,0,9,97,1288,1199,802,397,66.89,33.11,73600,76000,400,354,3,0,17,26,5418.0,Yes
26163542100,Wayne,Michigan,5256,103,5049,13,3,0,12,76,1947,1878,1384,494,73.7,26.3,81200,81400,54,1310,5,0,13,0,5421.0,Yes
26163542200,Wayne,Michigan,4731,119,4518,12,2,2,10,68,1728,1667,1227,440,73.61,26.39,83100,84000,41,1167,3,1,14,0,5422.0,Yes
26163542300,Wayne,Michigan,2957,80,2815,2,2,0,11,47,1164,1068,550,518,51.5,48.5,75900,75900,26,517,1,0,4,1,5423.0,Yes
26163542400,Wayne,Michigan,3358,73,3231,10,2,1,6,35,1224,1153,786,367,68.17,31.83,77300,78500,32,743,2,1,7,0,5424.0,Yes
26163542500,Wayne,Michigan,2866,133,2666,6,2,0,6,53,1040,994,857,137,86.22,13.78,112800,112900,63,778,1,0,15,0,5425.0,Yes
26163542600,Wayne,Michigan,3842,43,3740,2,5,0,12,40,1445,1365,891,474,65.27,34.73,82700,82900,14,862,0,0,10,1,5426.0,Yes
26163542700,Wayne,Michigan,1518,57,1420,2,0,0,10,29,540,486,268,218,55.14,44.86,46100,46100,30,231,1,0,4,0,5427.0,Yes
26163542800,Wayne,Michigan,2921,111,2745,10,6,0,13,36,1048,1034,940,94,90.91,9.09,115400,115400,62,864,1,0,11,1,5428.0,Yes
26163542900,Wayne,Michigan,3884,380,3380,9,16,0,28,71,1363,1342,1283,59,95.6,4.4,135800,136400,180,1077,3,0,15,5,5429.0,Yes
26163543000,Wayne,Michigan,2222,360,1812,5,13,0,11,21,713,698,671,27,96.13,3.87,174000,172700,152,510,2,0,3,3,5430.0,Yes
26163543100,Wayne,Michigan,2846,358,2392,2,31,1,8,54,986,961,903,58,93.96,6.04,146500,146900,144,732,0,0,12,12,5431.0,Yes
26163543200,Wayne,Michigan,3419,205,3128,8,9,0,23,46,1273,1226,932,294,76.02,23.98,85900,86300,89,819,4,0,14,1,5432.0,Yes
26163543400,Wayne,Michigan,3944,185,3680,12,2,2,5,58,1409,1349,1049,300,77.76,22.24,83100,83000,76,961,1,1,8,1,5434.0,Yes
26163543500,Wayne,Michigan,2722,290,2335,23,10,0,19,45,905,753,356,397,47.28,52.72,42600,42600,92,252,3,0,6,1,5435.0,Yes
26163543600,Wayne,Michigan,3254,554,2541,22,0,12,33,92,1187,986,445,541,45.13,54.87,24700,25600,184,247,3,0,9,0,5436.0,Yes
26163543700,Wayne,Michigan,3445,296,3068,6,6,0,14,55,1204,1044,408,636,39.08,60.92,46100,44100,98,302,0,0,8,0,5437.0,Yes
26163543800,Wayne,Michigan,2152,452,1606,10,26,2,12,44,881,753,284,469,37.72,62.28,34000,33300,143,126,4,0,5,5,5438.0,Yes
26163543900,Wayne,Michigan,1511,302,1162,4,3,0,7,33,698,626,178,448,28.43,71.57,22100,22100,91,82,0,0,3,1,5439.0,Yes
26163544000,Wayne,Michigan,2735,525,1855,18,259,0,13,65,1190,1164,720,444,61.86,38.14,77400,76800,209,449,2,0,13,44,5440.0,Yes
26163544100,Wayne,Michigan,2707,335,2308,7,6,0,2,49,1177,1113,477,636,42.86,57.14,76900,77300,106,359,3,0,7,2,5441.0,Yes
26163544200,Wayne,Michigan,3839,897,2751,26,24,0,31,110,1490,1327,607,720,45.74,54.26,56900,57100,247,339,2,0,10,5,5442.0,Yes
26163544300,Wayne,Michigan,3352,1509,1669,21,22,0,27,104,1521,1372,765,607,55.76,44.24,64200,64200,506,232,4,0,13,7,5443.0,Yes
26163545100,Wayne,Michigan,2828,115,2644,11,2,0,7,49,971,850,430,420,50.59,49.41,43200,43900,51,366,2,0,8,1,5451.0,Yes
26163545200,Wayne,Michigan,4866,103,4700,15,0,1,5,42,1694,1556,855,701,54.95,45.05,51400,51200,42,801,3,0,9,0,5452.0,Yes
26163545300,Wayne,Michigan,3403,130,3228,2,0,0,3,40,1171,1062,460,602,43.31,56.69,57400,57700,32,418,1,0,9,0,5453.0,Yes
26163545400,Wayne,Michigan,749,86,642,3,1,0,0,17,304,273,71,202,26.01,73.99,52900,53100,25,44,1,0,1,0,5454.0,Yes
26163545500,Wayne,Michigan,4589,1540,2513,25,12,5,98,396,1819,1688,1047,641,62.03,37.97,65000,64900,525,426,4,1,64,1,5455.0,Yes
26163545600,Wayne,Michigan,4994,3077,750,19,66,0,197,885,1867,1791,1273,518,71.08,28.92,71500,70900,940,142,7,0,134,12,5456.0,Yes
26163545700,Wayne,Michigan,2661,1907,361,20,73,0,123,177,1111,1058,809,249,76.47,23.53,66800,66600,669,68,4,0,32,11,5457.0,Yes
26163545800,Wayne,Michigan,5142,3535,846,40,92,6,214,409,2118,1984,1521,463,76.66,23.34,70700,70400,1216,149,3,0,85,16,5458.0,Yes
26163545900,Wayne,Michigan,4670,1892,2309,35,26,0,164,244,1799,1680,1253,427,74.58,25.42,66700,66400,694,481,11,0,33,7,5459.0,Yes
26163546000,Wayne,Michigan,5178,566,4462,7,11,1,47,84,1736,1621,1020,601,62.92,37.08,61200,61400,239,750,2,0,15,2,5460.0,Yes
26163546100,Wayne,Michigan,5072,1239,3607,16,43,0,59,108,1894,1796,1289,507,71.77,28.23,66800,67000,512,722,4,0,24,15,5461.0,Yes
26163546200,Wayne,Michigan,2928,2442,241,13,120,0,56,56,1241,1201,1091,110,90.84,9.16,89900,89500,955,71,5,0,14,32,5462.0,Yes
26163546300,Wayne,Michigan,1941,413,1408,6,60,0,20,34,704,686,619,67,90.23,9.77,85700,85000,173,417,1,0,9,17,5463.0,Yes
26163546400,Wayne,Michigan,1738,128,1577,3,1,0,1,28,605,568,331,237,58.27,41.73,57100,56700,57,268,3,0,3,0,5464.0,Yes
26163546500,Wayne,Michigan,2591,167,2368,4,10,1,6,35,1090,1048,587,461,56.01,43.99,69700,70000,70,509,1,1,4,2,5465.0,Yes
26163546600,Wayne,Michigan,2836,241,2493,6,4,1,15,76,1035,978,549,429,56.13,43.87,61200,60600,96,437,2,0,11,0,5466.0,Yes
26163546700,Wayne,Michigan,4097,237,3783,8,2,0,10,57,1420,1354,886,468,65.44,34.56,66800,66800,103,770,2,0,10,0,5467.0,Yes
26163546800,Wayne,Michigan,4616,188,4339,7,4,0,11,67,1763,1631,822,809,50.4,49.6,60600,60100,85,725,0,0,9,3,5468.0,Yes
26163546900,Wayne,Michigan,1424,44,1352,7,2,0,5,14,540,516,343,173,66.47,33.53,69500,70000,18,319,3,0,2,0,5469.0,Yes
26163550100,Wayne,Michigan,4163,3855,126,13,81,1,13,74,1705,1640,1171,469,71.4,28.6,363800,378700,1116,27,3,0,7,17,5501.0,No
26163550200,Wayne,Michigan,4679,4169,189,21,122,1,32,145,2097,1966,1067,899,54.27,45.73,188900,189300,1008,20,3,0,10,20,5502.0,No
26163550300,Wayne,Michigan,3601,3483,52,10,23,2,4,27,1241,1210,1184,26,97.85,2.15,357600,358400,1156,11,4,0,3,10,5503.0,No
26163550400,Wayne,Michigan,1712,1642,26,0,24,0,4,16,920,868,646,222,74.42,25.58,204700,212500,633,5,0,0,2,5,5504.0,No
26163550500,Wayne,Michigan,3958,3868,19,4,35,1,13,18,1584,1520,1307,213,85.99,14.01,304500,318900,1285,5,1,0,4,9,5505.0,No
26163550600,Wayne,Michigan,2700,2635,18,8,28,0,0,11,1057,1026,985,41,96,4,567500,573700,970,2,1,0,4,8,5506.0,No
26163550700,Wayne,Michigan,5536,5403,36,3,66,0,11,17,2181,2127,2065,62,97.09,2.91,268500,268700,2037,5,1,0,4,17,5507.0,No
26163550800,Wayne,Michigan,1528,1490,9,0,16,0,0,13,699,651,633,18,97.24,2.76,285200,285200,623,2,0,0,4,4,5508.0,No
26163550900,Wayne,Michigan,2743,2577,16,5,109,0,12,24,1054,1018,1000,18,98.23,1.77,601800,597900,954,7,1,0,4,33,5509.0,No
26163551100,Wayne,Michigan,5211,5086,30,1,68,0,6,20,2034,1972,1890,82,95.84,4.16,308000,308500,1860,6,1,0,6,17,5511.0,No
26163551200,Wayne,Michigan,4075,3937,37,0,56,0,5,40,1672,1626,1522,104,93.6,6.4,194100,194800,1499,4,0,0,6,11,5512.0,No
26163551300,Wayne,Michigan,3910,3541,210,14,93,1,16,35,1989,1919,1427,492,74.36,25.64,125600,128800,1383,28,1,0,5,8,5513.0,No
26163551400,Wayne,Michigan,4193,3187,831,7,83,0,22,63,1889,1815,1363,452,75.1,24.9,123500,124700,1254,75,3,0,6,21,5514.0,No
26163551500,Wayne,Michigan,2386,2077,243,14,12,0,9,31,977,952,919,33,96.53,3.47,120500,120500,831,75,4,0,6,3,5515.0,No
26163551600,Wayne,Michigan,3765,3442,176,13,55,0,10,69,1659,1606,1466,140,91.28,8.72,83400,83300,1389,51,5,0,9,11,5516.0,No
26163551700,Wayne,Michigan,3754,3544,8,7,147,0,2,46,1365,1333,1311,22,98.35,1.65,287300,288000,1253,1,2,0,9,44,5517.0,No
26163551800,Wayne,Michigan,4040,3881,33,3,84,0,6,33,1646,1600,1467,133,91.69,8.31,179400,180100,1437,6,1,0,4,19,5518.0,No
26163552000,Wayne,Michigan,2731,2022,118,8,272,0,3,308,1123,1022,668,354,65.36,34.64,77900,74600,573,14,1,0,49,31,5520.0,No
26163552100,Wayne,Michigan,4877,2934,938,28,479,14,42,442,1983,1802,821,981,45.56,54.44,73600,73600,610,72,7,3,57,67,5521.0,No
26163552200,Wayne,Michigan,3742,2768,192,13,370,0,44,355,1576,1433,850,583,59.32,40.68,74800,70500,733,15,4,0,48,42,5522.0,No
26163552300,Wayne,Michigan,3685,2438,273,12,477,0,58,427,1508,1343,573,770,42.67,57.33,72800,68300,459,25,0,0,37,49,5523.0,No
26163552400,Wayne,Michigan,2663,1127,817,9,322,0,30,358,974,875,489,386,55.89,44.11,76500,77000,274,125,0,0,37,48,5524.0,No
26163552600,Wayne,Michigan,4538,2469,647,28,462,9,85,838,1730,1558,609,949,39.09,60.91,66300,60400,438,36,2,0,74,54,5526.0,No
26163552700,Wayne,Michigan,740,249,488,0,0,0,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,5527.0,No
26163553000,Wayne,Michigan,1724,140,1547,5,6,2,1,23,943,850,163,687,19.18,80.82,45700,47000,17,142,0,0,2,2,5530.0,No
26163553100,Wayne,Michigan,2682,155,2453,5,8,0,15,46,1078,913,551,362,60.35,39.65,53800,54000,59,474,2,0,12,2,5531.0,No
26163553200,Wayne,Michigan,1748,33,1692,1,6,0,3,13,770,612,252,360,41.18,58.82,32400,31300,9,236,1,0,5,0,5532.0,No
26163553300,Wayne,Michigan,2105,31,2032,4,8,1,6,23,1156,999,219,780,21.92,78.08,51400,53800,2,214,1,0,0,1,5533.0,No
26163553400,Wayne,Michigan,1849,54,1757,5,1,0,4,28,850,776,100,676,12.89,87.11,44200,39800,8,90,1,0,1,0,5534.0,No
26163553600,Wayne,Michigan,3446,157,3165,7,4,0,11,102,1269,1092,641,451,58.7,41.3,59200,61400,42,580,1,0,13,2,5536.0,No
26163553800,Wayne,Michigan,3192,118,3002,18,8,0,2,44,1183,957,467,490,48.8,51.2,38400,30900,12,441,4,0,10,0,5538.0,No
26163554100,Wayne,Michigan,4475,4076,202,28,41,0,20,108,1718,1678,1544,134,92.01,7.99,91400,91300,1452,54,6,0,17,11,5541.0,No
26163554200,Wayne,Michigan,3476,3222,69,31,32,0,45,77,1328,1299,1085,214,83.53,16.47,89000,89800,1040,12,12,0,12,8,5542.0,No
26163554300,Wayne,Michigan,5617,5355,114,20,21,0,16,91,2169,2137,2010,127,94.06,5.94,101800,102400,1947,24,7,0,20,8,5543.0,No
26163554400,Wayne,Michigan,3717,3494,105,22,24,1,20,51,1502,1437,1101,336,76.62,23.38,91600,91500,1051,28,3,0,10,5,5544.0,No
26163554500,Wayne,Michigan,3171,2835,197,23,31,2,20,63,1314,1269,942,327,74.23,25.77,83700,83700,904,16,5,0,7,4,5545.0,No
26163554600,Wayne,Michigan,4016,3858,81,15,10,1,17,34,1578,1557,1487,70,95.5,4.5,103600,103600,1459,11,5,0,9,2,5546.0,No
26163554700,Wayne,Michigan,2781,2653,80,3,10,0,9,26,1098,1081,949,132,87.79,12.21,132400,131300,916,23,1,0,4,3,5547.0,No
26163554800,Wayne,Michigan,3815,2812,853,11,45,0,26,68,1577,1549,1379,170,89.03,10.97,122800,124800,1072,277,3,0,12,9,5548.0,No
26163554900,Wayne,Michigan,3400,2986,297,10,26,0,18,63,1369,1350,1299,51,96.22,3.78,111800,111600,1169,103,2,0,13,7,5549.0,No
26163555100,Wayne,Michigan,4757,4497,96,13,56,0,24,71,1899,1866,1759,107,94.27,5.73,106700,107400,1691,32,6,0,14,11,5551.0,No
26163555300,Wayne,Michigan,3492,2991,365,12,24,4,26,70,1336,1310,1201,109,91.68,8.32,106700,107000,1065,106,7,1,12,6,5553.0,No
26163555400,Wayne,Michigan,3040,1373,1531,8,30,2,28,68,1130,1116,1059,57,94.89,5.11,108900,109900,527,501,3,0,14,8,5554.0,No
26163555500,Wayne,Michigan,3072,2595,361,17,32,0,19,48,1380,1353,1257,96,92.9,7.1,117400,119700,1097,125,6,0,15,6,5555.0,No
26163555600,Wayne,Michigan,2793,2671,59,9,10,0,7,37,1207,1180,1111,69,94.15,5.85,120100,121200,1079,20,2,0,5,3,5556.0,No
26163556100,Wayne,Michigan,3803,3547,59,16,91,0,13,77,1420,1392,1253,139,90.01,9.99,115500,114900,1196,13,6,0,18,17,5561.0,No
26163556200,Wayne,Michigan,2931,2699,53,8,124,1,8,38,1448,1407,690,717,49.04,50.96,161000,162600,664,4,3,0,6,12,5562.0,No
26163556300,Wayne,Michigan,2968,2815,33,2,72,2,21,23,1312,1271,1027,244,80.8,19.2,146000,148200,996,5,1,0,3,16,5563.0,No
26163556400,Wayne,Michigan,4589,4159,115,1,225,0,10,79,1586,1564,1236,328,79.03,20.97,286300,286400,1175,6,1,0,16,35,5564.0,No
26163556500,Wayne,Michigan,2199,2089,23,3,49,0,0,35,1100,1073,854,219,79.59,20.41,189100,247700,826,6,2,0,6,14,5565.0,No
26163556600,Wayne,Michigan,3820,3696,20,6,65,0,5,28,1311,1304,1294,10,99.23,0.77,223500,223500,1264,5,2,0,6,16,5566.0,No
26163556700,Wayne,Michigan,2702,2595,17,3,65,0,7,15,994,982,888,94,90.43,9.57,221900,221900,862,4,1,0,2,17,5567.0,No
26163556800,Wayne,Michigan,1870,1815,17,0,22,0,8,8,670,668,640,28,95.81,4.19,209700,210200,627,3,0,0,2,7,5568.0,No
26163556900,Wayne,Michigan,3759,3518,26,12,129,2,18,54,1413,1398,1331,67,95.21,4.79,161500,166800,1273,7,3,0,9,36,5569.0,No
26163557000,Wayne,Michigan,3179,2869,95,16,120,0,28,51,1309,1282,955,327,74.49,25.51,129800,129700,923,5,2,0,3,20,5570.0,No
26163557100,Wayne,Michigan,2684,2482,72,12,60,2,2,54,1055,1034,827,207,79.98,20.02,159000,159400,794,4,3,0,9,17,5571.0,No
26163557200,Wayne,Michigan,2105,2037,20,7,16,0,12,13,747,734,701,33,95.5,4.5,156100,160500,687,4,2,0,2,3,5572.0,No
26163557300,Wayne,Michigan,2057,1990,15,3,23,0,7,19,754,746,720,26,96.51,3.49,214700,214800,701,3,1,0,6,7,5573.0,No
26163557400,Wayne,Michigan,3584,3496,4,3,37,0,6,38,1291,1278,1257,21,98.36,1.64,206700,206200,1237,0,2,0,6,9,5574.0,No
