DLBA Sale ID,Address,Sale Closed Date,Final Sale Price,Program,Block Range,Council District,Neighborhood,Zip Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
A-267341,12698 Lauder,2020-10-13,1360,Own It Now,12631-12899 Lauder St,1,Schoolcraft Southfield,48227,12698,,LAUDER,St,22041758.,135097,-83.1899057500127,42.3814653001374,2143,-9260657.94723183,5218293.48340135
A-265427,6102 Florida,2020-05-07,7100,Own It Now,6000-6499 Florida St,6,Claytown,48210,6102,,FLORIDA,St,18012978.,200874,-83.1434651489615,42.3409647430595,2144,-9255488.20317068,5212191.93959732
A-262807,17861 Wexford,2020-03-25,1000,Own It Now,17800-17999 Wexford St,3,Davison,48212,17861,,WEXFORD,St,13021800-1,269793,-83.0649566436934,42.4249134941023,2145,-9246748.6763413,5224843.47598046
A-262959,18129 Greeley,2020-05-29,1800,Own It Now,18000-18499 Greeley St,3,Hawthorne Park,48203,18129,,GREELEY,St,09019579.,280287,-83.087865467566,42.4269339031755,2146,-9249298.87494947,5225148.17130816
A-372258,8233 Marion,2023-11-07,1000,Own It Now,8200-8599 Marion Ave,3,Airport Sub,48213,8233,,MARION,Ave,17001591.,291164,-83.0191364126844,42.3951317868651,2147,-9241647.99155735,5220353.27313165
A-132320,12773 Tuller,2017-08-08,1000,Own It Now,,7,Oakman Blvd Community,48238,12773,,TULLER,,16027184.,77635,-83.1466146729618,42.3835260333585,2148,-9255838.80657863,5218604.04491232
A-271521,650 W Brentwood,2020-07-31,9100,Own It Now,400-771 W Brentwood St,2,Grixdale Farms,48203,650,W,BRENTWOOD,St,01006853.,322816,-83.1119496239643,42.4315505679282,2149,-9251979.91097591,5225844.44151847
A-274921,20267 Pelkey,2020-12-16,1000,Own It Now,20200-20499 Pelkey St,3,Conner Creek,48205,20267,,PELKEY,St,21030053.,191073,-82.9871352604647,42.4467938234019,2150,-9238085.63958745,5228143.74352685
A-132103,3291 Vicksburg,2017-07-26,1000,Own It Now,3200-3699 Vicksburg St,5,Wildemere Park,48206,3291,,VICKSBURG,St,12001720.,81987,-83.1106425367551,42.3628700572606,2151,-9251834.40669336,5215491.55978531
A-165047,9615 Cheyenne,2018-10-26,1000,Own It Now,9500-9899 Cheyenne St,7,Barton-McFarland,48227,9615,,CHEYENNE,St,22026352.,205904,-83.1744590751953,42.3675542417025,2152,-9258938.43125671,5216197.2926303
