...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,City of Detroit?,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,Total Pop,Nonwite Pop,% Nonwhite Pop,White Pop,Racial Type,Total Housing Units,# HU reporting value,Total Occupied,# Owner Occupied,# Tenant Occupied,% Owner Occupied,% Owner Type,White OO,White TO,Total White Occupied,% White Ownership (White Pop),Nonwhite OO,Nonwhite TO,Total Nonwhite Occupied,% Nonwhite Ownership (Nonwhite Pop),Housing Quality Nonwhite HHS,Sound w all fac,Sound but lacking some fac,Deteriorating w all fac,Deteriorating but lacking some fac,Dilapodated,OO Units by Reported Value,...36,...37,...38,...39,...40,...41,Occupied by Tenure,OO,TO,Nonwhite Occupied by Tenure,med.val,,Nonwhite Pop Type,Zero,Min,Avg,Above Avg,Majority,Nonwhite Owner Type,Zero,Min,Avg,Above Avg,Majority,Race and Tenure Type,Zero-Owner,Zero-Mixed,Zero-Renter,Min-Owner,Min-Mixed,Min-Renter,Avg-Owner,Avg-Mixed,Avg-Renter,Above Avg-Owner,Above Avg-Mixed,Above Avg-Renter,Majority-Owner,Majority-Mixed,Majority-Renter,,% Nonwhite Lower,% Nonwhite Upper,Type,#,%,# Nonwhite Owner Types,% Nonwhite Owner Types,,% Owner Lower,% Owner Higher,Type,#,%
GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,MSA,PLACE,PRETRACTA,TRACTA,POSTTRCTA,URBAN,AREANAME,,60MCD,PLACEDC,60PLACESC,SF1,SF2,SF3,SF4,SF5,SF6,GC23,CA4001,B9T001,,,,CA5001,CA6001,,B8F001,B8F002,,,,,,,B9P001,B9P002,,,,B9Q001,B9Q002,B9Q003,B9Q004,B9Q005,,B78001,B78002,B78003,B78004,B78005,B78006,,B9O001,B9O002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,5.00%,Zero,514,65.98%,,,,0.00%,40.00%,1,101,12.97%
G2600990MA0020,1960,Michigan,26,Macomb,99,2160,,MA,20,,550,TRACT MA-20 FRASER CITY,No,7,4,7,0,0,1,1,1,1,0,5579,5,0.09%,5574,Zero,1613,1,1426,1323,103,92.78%,3,1323,103,1426,92.78%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,1323,103,,16677.56944,,,16677.56944,,,,,,,,,,,,16677.56944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0021,1960,Michigan,26,Macomb,99,2160,,MA,21,,550,TRACT MA-21 FRASER CITY,No,7,4,7,0,0,1,1,1,1,0,1448,0,0.00%,1448,Zero,517,0,394,339,55,86.04%,3,339,55,394,86.04%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,339,55,,14805.11207,,,14805.11207,,,,,,,,,,,,14805.11207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0022,1960,Michigan,26,Macomb,99,2160,,MA,22,,550,TRACT MA-22 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,2325,0,0.00%,2325,Zero,896,1,657,464,193,70.62%,3,464,193,657,70.62%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,464,193,,17526.58511,,,17526.58511,,,,,,,,,,,,17526.58511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0023,1960,Michigan,26,Macomb,99,2160,,MA,23,,550,TRACT MA-23 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,7983,39,0.49%,7944,Zero,2401,20,2171,2021,150,93.09%,3,2013,150,2163,93.07%,8,0,8,100.00%,,6,0,0,0,0,,0,0,0,0,0,0,,2021,150,,18279.52532,,,18279.52532,,,,,,,,,,,,18279.52532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0024,1960,Michigan,26,Macomb,99,2160,,MA,24,,550,TRACT MA-24 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,7555,62,0.82%,7493,Zero,2099,26,1896,1785,111,94.15%,3,1769,111,1880,94.10%,16,0,16,100.00%,,5,0,1,0,0,,0,0,0,0,0,0,,1785,111,,14658.74714,,,14658.74714,,,,,,,,,,,,14658.74714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0025,1960,Michigan,26,Macomb,99,2160,,MA,25,,550,TRACT MA-25 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,7409,4,0.05%,7405,Zero,2029,14,1841,1660,181,90.17%,3,1660,181,1841,90.17%,0,0,0,#DIV/0!,,2,0,0,0,0,,0,0,0,0,0,0,,1660,181,,11766.4687,,,11766.4687,,,,,,,,,,,,11766.4687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0026,1960,Michigan,26,Macomb,99,2160,,MA,26,,550,TRACT MA-26 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,10119,4,0.04%,10115,Zero,2919,11,2702,2390,312,88.45%,3,2390,312,2702,88.45%,0,0,0,#DIV/0!,,2,0,1,0,0,,0,0,0,0,0,0,,2390,312,,10407.82292,,,10407.82292,,,,,,,,,,,,10407.82292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0027,1960,Michigan,26,Macomb,99,2160,,MA,27,,550,TRACT MA-27 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,6914,19,0.27%,6895,Zero,2152,22,1954,1584,370,81.06%,3,1580,370,1950,81.03%,4,0,4,100.00%,,7,0,0,0,0,,0,0,0,0,0,0,,1584,370,,9369.425676,,,9369.425676,,,,,,,,,,,,9369.425676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0028,1960,Michigan,26,Macomb,99,2160,,MA,28,,550,TRACT MA-28 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,12874,9,0.07%,12865,Zero,3945,24,3618,2859,759,79.02%,3,2859,759,3618,79.02%,0,0,0,#DIV/0!,,3,1,0,0,0,,0,0,0,0,0,0,,2859,759,,9355.85755,,,9355.85755,,,,,,,,,,,,9355.85755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0029,1960,Michigan,26,Macomb,99,2160,,MA,29,,550,TRACT MA-29 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,12313,16,0.13%,12297,Zero,3560,28,3327,3017,310,90.68%,3,3009,310,3319,90.66%,8,0,8,100.00%,,9,0,0,0,0,,0,0,0,0,0,0,,3017,310,,13484.99289,,,13484.99289,,,,,,,,,,,,13484.99289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0030,1960,Michigan,26,Macomb,99,2160,,MA,30,,550,TRACT MA-30 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,12044,8,0.07%,12036,Zero,3679,10,3303,3019,284,91.40%,3,3019,284,3303,91.40%,0,0,0,#DIV/0!,,2,0,0,0,0,,0,0,0,0,0,0,,3019,284,,15432.74415,,,15432.74415,,,,,,,,,,,,15432.74415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0031,1960,Michigan,26,Macomb,99,2160,,MA,31,,550,TRACT MA-31 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,2218,21,0.95%,2197,Zero,746,6,623,431,192,69.18%,3,431,188,619,69.63%,0,4,4,0.00%,,2,0,0,0,0,,0,0,0,0,0,0,,431,192,,14201.7,,,14201.7,,,,,,,,,,,,14201.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0032,1960,Michigan,26,Macomb,99,2160,,MA,32,,550,TRACT MA-32 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,7492,38,0.51%,7454,Zero,1942,12,1849,1681,168,90.91%,3,1681,159,1840,91.36%,0,9,9,0.00%,,2,0,1,0,0,,0,0,0,0,0,0,,1681,168,,17217.58108,,,17217.58108,,,,,,,,,,,,17217.58108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0033,1960,Michigan,26,Macomb,99,2160,,MA,33,,550,TRACT MA-33 CENTER LINE CITY,No,3,4,8,0,0,1,1,1,1,0,10164,0,0.00%,10164,Zero,2843,3,2672,2392,280,89.52%,3,2392,280,2672,89.52%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,2392,280,,13615.17875,,,13615.17875,,,,,,,,,,,,13615.17875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0034,1960,Michigan,26,Macomb,99,2160,,MA,34,,,TRACT MA-34 STERLING TWP,No,20,7,0,0,0,1,1,1,1,0,992,0,0.00%,992,Zero,333,1,284,208,76,73.24%,3,208,76,284,73.24%,0,0,0,#DIV/0!,,0,1,0,0,0,,0,0,0,0,0,0,,208,76,,17851.42188,,,17851.42188,,,,,,,,,,,,17851.42188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0035,1960,Michigan,26,Macomb,99,2160,,MA,35,,,TRACT MA-35 STERLING TWP,No,20,7,0,0,0,1,1,1,1,0,2439,4,0.16%,2435,Zero,788,6,656,565,91,86.13%,3,565,91,656,86.13%,0,0,0,#DIV/0!,,0,0,0,0,1,,0,0,0,0,0,0,,556,100,,12939.63889,,,12939.63889,,,,,,,,,,,,12939.63889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0036,1960,Michigan,26,Macomb,99,2160,,MA,36,,,TRACT MA-36 STERLING TWP,No,20,7,0,0,0,1,1,1,1,0,3112,0,0.00%,3112,Zero,1012,5,842,679,163,80.64%,3,679,163,842,80.64%,0,0,0,#DIV/0!,,0,0,1,0,0,,0,0,0,0,0,0,,679,163,,13437.125,,,13437.125,,,,,,,,,,,,13437.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0037,1960,Michigan,26,Macomb,99,2160,,MA,37,,,TRACT MA-37 STERLING TWP,No,20,7,0,0,0,1,1,1,1,0,8079,8,0.10%,8071,Zero,2286,16,2049,1870,179,91.26%,3,1870,179,2049,91.26%,0,0,0,#DIV/0!,,2,0,0,1,0,,0,0,0,0,0,0,,1870,179,,15007.41543,,,15007.41543,,,,,,,,,,,,15007.41543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0038,1960,Michigan,26,Macomb,99,2160,,MA,38,,,TRACT MA-38 CLINTON TWP,No,5,7,0,0,0,1,1,0,1,0,3412,442,12.95%,2970,Avg,1047,451,911,600,311,65.86%,2,556,263,819,67.89%,44,48,92,47.83%,,42,1,11,13,26,,0,0,0,0,0,0,,600,311,,12685.73649,,,,,12685.73649,,,,,,,,,,,,,,,,,12685.73649,,,,,,,,,,,,,,,,,,,,,
G2600990MA0039,1960,Michigan,26,Macomb,99,2160,,MA,39,,,TRACT MA-39 CLINTON TWP,No,5,7,0,0,0,1,1,1,1,0,3627,11,0.30%,3616,Zero,1036,3,971,895,76,92.17%,3,895,76,971,92.17%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,904,67,,21520.85979,,,21520.85979,,,,,,,,,,,,21520.85979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0040,1960,Michigan,26,Macomb,99,2160,,MA,40,,550,TRACT MA-40 CLINTON TWP,No,5,7,0,0,0,1,1,0,1,0,4302,1303,30.29%,2999,Above Avg,1326,1299,1105,919,186,83.17%,3,687,97,784,87.63%,232,89,321,72.27%,,109,53,40,72,47,,0,0,0,0,0,0,,919,186,,9342.483051,,,,,,9342.483051,,,,,,,,,,,,,,,,,,9342.483051,,,,,,,,,,,,,,,,,,,
G2600990MA0041,1960,Michigan,26,Macomb,99,2160,,MA,41,,550,TRACT MA-41 CLINTON TWP,No,5,7,0,0,0,1,1,1,1,0,8918,16,0.18%,8902,Zero,2319,7,2192,2036,156,92.88%,3,2032,156,2188,92.87%,4,0,4,100.00%,,1,0,0,0,0,,0,0,0,0,0,0,,2036,156,,16453.56407,,,16453.56407,,,,,,,,,,,,16453.56407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0042,1960,Michigan,26,Macomb,99,2160,,MA,42,,550,TRACT MA-42 CLINTON TWP,No,5,7,0,0,0,1,1,1,1,0,5429,0,0.00%,5429,Zero,1359,9,1289,1147,142,88.98%,3,1147,142,1289,88.98%,0,0,0,#DIV/0!,,1,1,0,0,0,,0,0,0,0,0,0,,1147,142,,14919.06566,,,14919.06566,,,,,,,,,,,,14919.06566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0043,1960,Michigan,26,Macomb,99,2160,,MA,43,,550,TRACT MA-43 MOUNT CLEMENS CITY,No,13,4,9,0,0,1,1,0,1,0,2143,1002,46.76%,1141,Above Avg,797,996,596,382,214,64.09%,2,237,122,359,66.02%,145,92,237,61.18%,,87,8,71,31,40,,0,0,0,0,0,0,,382,214,,10545.23636,,,,,,10545.23636,,,,,,,,,,,,,,,,,,,10545.23636,,,,,,,,,,,,,,,,,,
G2600990MA0044,1960,Michigan,26,Macomb,99,2160,,MA,44,,550,TRACT MA-44 MOUNT CLEMENS CITY,No,13,4,9,0,0,1,1,1,1,0,6844,8,0.12%,6836,Zero,2331,17,2025,1470,555,72.59%,3,1470,555,2025,72.59%,0,0,0,#DIV/0!,,1,2,0,0,0,,0,0,0,0,0,0,,1470,555,,15297.05094,,,15297.05094,,,,,,,,,,,,15297.05094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
