Tract,State,County_name,GISJOIN,GISJOIN2,GeoRecType,Total_Population,White_Population,Black_Population,Occupied_Housing_Units,Occupied_Housing_Units_Owner,Occupied_Housing_Units_Renter,Count_Owner_Occupied_units,Avg_Value_OO_units,Count_Black_OO_units,Avg_Value_Black_OO_units,Count_Vacant_For_Sale_Only_Housing_Units,Avg_Vacant_For_Sale_Only,Total_Housing_Units,Count_Units_Value_Tabulated,less than 5k,5k_to_7499,7.5k_to_9999,10k_to_12499,12.5k_to_14999,15k_to_17499,17.5k_to_19999,20k_to_24999,25k_to_34999,35k_to_49999,50k_or_more,Tract_str,In city of Detroit?,% White Population,% Black Population,% Owner Occupied (OO) units,% Black OO units,Median_Housing_Value
925.9,MI,"Census Tract 925.9, Wayne County, Michigan",G2601630092509,2601630092509,1,596,573.0,23,49.0,,,32.0,39375,,,,,52,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,925.9,No,96.14093959731544,3.859060402684564,,,40312.145833333336
925.10,MI,"Census Tract 925.10, Wayne County, Michigan",G2601630092510,2601630092510,1,4858,4858.0,0,1163.0,,,1136.0,31603.213028169,,,,,1191,1136.0,0.0,0.0,0.0,0.0,9.0,19.0,13.0,139.0,705.0,235.0,16.0,925.10,No,100.0,0.0,,,30510.087234042552
925.11,MI,"Census Tract 925.11, Wayne County, Michigan",G2601630092511,2601630092511,1,3990,3985.0,0,1093.0,1000.0,93,977.0,26420.1637666325,,,,,1109,977.0,0.0,9.0,5.0,18.0,33.0,76.0,69.0,233.0,458.0,58.0,18.0,925.11,No,99.87468671679198,0.0,91.49130832570906,,26004.266375545852
925.12,MI,"Census Tract 925.12, Wayne County, Michigan",G2601630092512,2601630092512,1,1704,1704.0,0,480.0,431.0,49,431.0,25904.8723897912,,,,,499,431.0,0.0,5.0,0.0,25.0,39.0,16.0,43.0,66.0,193.0,38.0,6.0,925.12,No,100.0,0.0,89.79166666666667,,26139.78238341969
925.13,MI,"Census Tract 925.13, Wayne County, Michigan",G2601630092513,2601630092513,1,5415,5402.0,0,1376.0,1279.0,97,1270.0,26300.1968503937,,,,,1376,1270.0,0.0,0.0,4.0,14.0,16.0,14.0,85.0,459.0,638.0,40.0,0.0,925.13,No,99.75992613111727,0.0,92.95058139534885,,25681.75
931,MI,"Census Tract 931, Wayne County, Michigan",G26016300931,26016300931,1,3033,3011.0,14,1082.0,664.0,418,568.0,23446.3028169014,,,,,1112,568.0,0.0,19.0,19.0,30.0,36.0,76.0,62.0,133.0,131.0,48.0,14.0,0931,No,99.27464556544675,0.46158918562479395,61.367837338262476,,21597.424812030076
932.1,MI,"Census Tract 932.1, Wayne County, Michigan",G2601630093201,2601630093201,1,1464,972.0,480,,,,,,,,,,11,,,,,,,,,,,,,932.1,No,66.39344262295081,32.78688524590164,,,
932.2,MI,"Census Tract 932.2, Wayne County, Michigan",G2601630093202,2601630093202,1,3447,3379.0,29,1081.0,886.0,195,409.0,30100.8557457213,,,,,1118,409.0,0.0,15.0,0.0,24.0,29.0,51.0,44.0,39.0,51.0,107.0,49.0,932.2,No,98.02727008993327,0.8413112851755149,81.96114708603145,,25588.176470588234
932.3,MI,"Census Tract 932.3, Wayne County, Michigan",G2601630093203,2601630093203,1,2487,2455.0,23,615.0,576.0,39,553.0,41091.7721518987,,,,,619,553.0,0.0,0.0,5.0,13.0,19.0,13.0,55.0,28.0,83.0,132.0,205.0,932.3,No,98.71330920788098,0.9248090068355449,93.65853658536587,,41931.356060606064
932.4,MI,"Census Tract 932.4, Wayne County, Michigan",G2601630093204,2601630093204,1,2104,1443.0,661,49.0,,,,,,,,,59,,,,,,,,,,,,,932.4,No,68.58365019011407,31.41634980988593,,,
933.1,MI,"Census Tract 933.1, Wayne County, Michigan",G2601630093301,2601630093301,1,2133,2120.0,0,709.0,430.0,279,293.0,17755.1194539249,,,,,737,293.0,6.0,10.0,28.0,30.0,41.0,34.0,44.0,64.0,30.0,6.0,0.0,933.1,No,99.3905297702766,0.0,60.64880112834978,,17352.0
933.2,MI,"Census Tract 933.2, Wayne County, Michigan",G2601630093302,2601630093302,1,4876,4840.0,5,1598.0,1086.0,512,1001.0,27892.1078921079,,,,,1684,1001.0,0.0,19.0,16.0,48.0,37.0,76.0,52.0,237.0,324.0,124.0,68.0,933.2,No,99.2616899097621,0.10254306808859721,67.95994993742178,,25493.777777777777
933.3,MI,"Census Tract 933.3, Wayne County, Michigan",G2601630093303,2601630093303,1,4777,4777.0,0,1452.0,1123.0,329,1069.0,25647.8016838167,,,,,1491,1069.0,0.0,5.0,5.0,52.0,46.0,95.0,147.0,304.0,229.0,174.0,12.0,933.3,No,100.0,0.0,77.34159779614325,,23042.154605263157
