TRACTA,GISJOIN_y,Year,State Name,County Name,Geo_name,GISJOIN2,Total_Population,Total_Pop_White,Total_Pop_Black,Total_Pop_American_Indian,Total_Pop_Asian_Pacific_Islander,Total_Pop_Other,Percent_Pop_White,Percent_Pop_Black,Percent_Pop_American_Indian,Percent_Pop_Asian_Pacific_Islander,Percent_Pop_Other,Owner_Occupied_Housing_Units,Renter_Occupied_Housing_Units,Percent_Owner_Occupied_Housing_Units,Percent_Renter_Occupied_Housing_Units,Median_Owner_Costs_With_Mortgage,Median_Owner_Costs_Not_Mortgaged,Tract_numeric,In city of Detroit?,Owner occupied,Renter occupied,"American Indian, Eskimo, and Aleut",Asian and Pacific Islander,Owner occupied >> White,Owner occupied >> Black,"Owner occupied >> American Indian, Eskimo, and Aleut",Owner occupied >> Asian and Pacific Islander,Owner occupied >> Other,Renter occupied >> White,Renter occupied >> Black,"Renter occupied >> American Indian, Eskimo, and Aleut",Renter occupied >> Asian and Pacific Islander,Renter occupied >> Other,"Less than $10,000","$10,000-$14,999","$15,000-$19,999","$20,000-$24,999","$25,000-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$49,999","$50,000-$79,999","$80,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000 or more",Median value,% Black OO units
2046,G26009902046,1980,Michigan,Macomb,Census Tract 2046,2600990204600,3806,1870,1866,17,14,39,49.13,49.03,0.45,0.37,1.02,571,910,38.56,61.44,352,154,2046.0,No,571,910,5,2,297,266,3,0,0,633,268,2,0,0,6,16,54,74,93,75,66,65,34,2,3,0,0,30067,46.58493870402802
2047,G26009902047,1980,Michigan,Macomb,Census Tract 2047,2600990204700,2344,1882,340,14,60,48,80.29,14.51,0.6,2.56,2.05,10,643,1.53,98.47,0,0,2047.0,No,11,617,7,10,10,1,0,0,0,501,86,7,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,5000,9.090909090909092
204802,G2600990204802,1980,Michigan,Macomb,Census Tract 2048.2,2600990204802,5264,5198,0,36,20,10,98.75,0,0.68,0.38,0.19,1584,141,91.83,8.17,481,224,2048.2,No,1583,167,6,3,1572,0,6,0,0,167,0,0,0,0,4,6,13,33,45,54,73,189,521,217,255,45,12,68225,0.0
204803,G2600990204803,1980,Michigan,Macomb,Census Tract 2048.3,2600990204803,5302,5245,15,13,15,14,98.92,0.28,0.25,0.28,0.26,1494,301,83.23,16.77,426,186,2048.3,No,1422,293,3,3,1415,0,0,0,6,280,8,0,0,0,4,5,12,39,49,66,79,200,536,162,69,12,2,59151,0.0
204804,G2600990204804,1980,Michigan,Macomb,Census Tract 2048.4,2600990204804,1497,1475,1,2,10,9,98.53,0.07,0.13,0.67,0.6,557,71,88.69,11.31,423,97,2048.4,No,629,79,0,4,623,0,0,0,0,79,0,0,0,0,36,19,20,0,19,5,11,6,0,12,0,9,0,18375,0.0
204901,G2600990204901,1980,Michigan,Macomb,Census Tract 2049.1,2600990204901,2403,2370,1,17,7,8,98.63,0.04,0.71,0.29,0.33,693,107,86.62,13.38,474,215,2049.1,No,721,85,6,2,712,0,4,0,0,83,0,2,0,0,2,5,13,27,27,20,36,79,180,114,110,20,7,68500,0.0
204903,G2600990204903,1980,Michigan,Macomb,Census Tract 2049.3,2600990204903,1734,1672,37,4,11,10,96.42,2.13,0.23,0.63,0.58,392,384,50.52,49.48,368,164,2049.3,No,393,374,1,5,392,1,0,0,0,349,16,0,5,0,2,6,10,13,34,34,34,58,59,7,5,0,1,39779,0.2544529262086514
204904,G2600990204904,1980,Michigan,Macomb,Census Tract 2049.4,2600990204904,5105,4941,73,14,54,23,96.79,1.43,0.27,1.06,0.45,1043,1257,45.35,54.65,398,218,2049.4,No,1014,1289,4,17,1004,1,0,6,0,1232,40,0,11,0,2,3,7,15,21,35,46,155,318,33,31,10,1,55142,0.09861932938856016
2050,G26009902050,1980,Michigan,Macomb,Census Tract 2050,2600990205000,5444,5368,15,24,18,19,98.6,0.28,0.44,0.33,0.35,1209,785,60.63,39.37,424,187,2050.0,No,0,0,3,5,0,2,0,1,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf
205103,G2600990205103,1980,Michigan,Macomb,Census Tract 2051.3,2600990205103,5906,5832,15,29,20,10,98.75,0.25,0.49,0.34,0.17,1521,284,84.27,15.73,463,187,2051.3,No,1521,284,7,3,1509,1,5,0,0,275,4,2,0,0,2,7,16,24,20,47,57,173,700,121,81,33,11,62857,0.06574621959237344
